protein,pathway
P20701,hsa04810
P20701,hsa05144
P20701,hsa05150
P20701,hsa05166
P20701,hsa05169
P20701,hsa05323
P20701,hsa05416
P20813,hsa00590
P20813,hsa00830
P20813,hsa00980
P20813,hsa00982
P20813,hsa01100
P20813,hsa05207
P20813,hsa05417
P20815,hsa00140
P20815,hsa00830
P20815,hsa00980
P20815,hsa00982
P20815,hsa01100
P20815,hsa05204
P21397,hsa00260
P21397,hsa00330
P21397,hsa00340
P21397,hsa00350
P21397,hsa00360
P21397,hsa00380
P21397,hsa00982
P21397,hsa01100
P21397,hsa04726
P21397,hsa04728
P21397,hsa05012
P21397,hsa05030
P21397,hsa05031
P21397,hsa05034
P21695,hsa00564
P21695,hsa01100
P21728,hsa04020
P21728,hsa04024
P21728,hsa04080
P21728,hsa04081
P21728,hsa04082
P21728,hsa04540
P21728,hsa04728
P21728,hsa05012
P21728,hsa05030
P21728,hsa05031
P21728,hsa05032
P21728,hsa05034
P21802,hsa01521
P21802,hsa04010
P21802,hsa04014
P21802,hsa04015
P21802,hsa04020
P21802,hsa04144
P21802,hsa04151
P21802,hsa04550
P21802,hsa04810
P21802,hsa05200
P21802,hsa05215
P21802,hsa05226
P21802,hsa05230
P21917,hsa04080
P21917,hsa04081
P21917,hsa04082
P21917,hsa04728
P21918,hsa04020
P21918,hsa04024
P21918,hsa04080
P21918,hsa04081
P21918,hsa04082
P21918,hsa04728
P21964,hsa00140
P21964,hsa00350
P21964,hsa01100
P21964,hsa04728
P22309,hsa00040
P22309,hsa00053
P22309,hsa00140
P22309,hsa00830
P22309,hsa00860
P22309,hsa00980
P22309,hsa00982
P22309,hsa00983
P22309,hsa01100
P22309,hsa01240
P22309,hsa04976
P22309,hsa05204
P22309,hsa05207
P22310,hsa00040
P22310,hsa00053
P22310,hsa00140
P22310,hsa00830
P22310,hsa00860
P22310,hsa00980
P22310,hsa00982
P22310,hsa00983
P22310,hsa01100
P22310,hsa01240
P22310,hsa04976
P22310,hsa05204
P22310,hsa05207
P22455,hsa04010
P22455,hsa04014
P22455,hsa04015
P22455,hsa04020
P22455,hsa04144
P22455,hsa04151
P22455,hsa04550
P22455,hsa04810
P22455,hsa05200
P23141,hsa00983
P23219,hsa00590
P23219,hsa01100
P23219,hsa04611
P23219,hsa04726
P23219,hsa04923
P24385,hsa01522
P24385,hsa04068
P24385,hsa04110
P24385,hsa04115
P24385,hsa04151
P24385,hsa04152
P24385,hsa04218
P24385,hsa04310
P24385,hsa04340
P24385,hsa04371
P24385,hsa04390
P24385,hsa04510
P24385,hsa04518
P24385,hsa04530
P24385,hsa04630
P24385,hsa04917
P24385,hsa04919
P24385,hsa04921
P24385,hsa04933
P24385,hsa04934
P24385,hsa04936
P24385,hsa05160
P24385,hsa05162
P24385,hsa05163
P24385,hsa05165
P24385,hsa05166
P24385,hsa05167
P24385,hsa05169
P24385,hsa05200
P24385,hsa05203
P24385,hsa05205
P24385,hsa05206
P24385,hsa05207
P24385,hsa05210
P24385,hsa05212
P24385,hsa05213
P24385,hsa05214
P24385,hsa05215
P24385,hsa05216
P24385,hsa05218
P24385,hsa05219
P24385,hsa05220
P24385,hsa05221
P24385,hsa05222
P24385,hsa05223
P24385,hsa05224
P24385,hsa05225
P24385,hsa05226
P24385,hsa05416
P24462,hsa00140
P24462,hsa00830
P24462,hsa01100
P24462,hsa05204
P24530,hsa04020
P24530,hsa04022
P24530,hsa04080
P24530,hsa04916
P24530,hsa04926
P24530,hsa05200
P25100,hsa04020
P25100,hsa04022
P25100,hsa04080
P25100,hsa04081
P25100,hsa04082
P25100,hsa04261
P25100,hsa04270
P25100,hsa04970
P25101,hsa04020
P25101,hsa04022
P25101,hsa04024
P25101,hsa04080
P25101,hsa04270
P25101,hsa04924
P25101,hsa05200
P25105,hsa04020
P25105,hsa04080
P25105,hsa05150
P25116,hsa04015
P25116,hsa04020
P25116,hsa04024
P25116,hsa04072
P25116,hsa04080
P25116,hsa04151
P25116,hsa04610
