protein,go_term
P05412,GO:0005667
P05412,GO:0006351
P05412,GO:0006357
P05412,GO:0007179
P05412,GO:0007254
P05412,GO:0017053
P05412,GO:0019046
P05412,GO:0019899
P05412,GO:0031625
P05412,GO:0032905
P05412,GO:0034976
P05412,GO:0035497
P05412,GO:0035976
P05412,GO:0042127
P05412,GO:0042802
P05412,GO:0043392
P05412,GO:0043922
P05412,GO:0043923
P05412,GO:0044389
P05412,GO:0045892
P05412,GO:0045893
P05412,GO:0045944
P05412,GO:0048545
P05412,GO:0051726
P05412,GO:0060395
P05412,GO:0061629
P05412,GO:0070412
P05412,GO:0072740
P05412,GO:0140296
P05412,GO:0140467
P05412,GO:1902895
P05412,GO:1904707
P05412,GO:1990837
P05412,GO:2000144
P06858,GO:0001523
P06858,GO:0004465
P06858,GO:0004620
P06858,GO:0004806
P06858,GO:0005102
P06858,GO:0005509
P06858,GO:0005576
P06858,GO:0005615
P06858,GO:0005886
P06858,GO:0006631
P06858,GO:0006633
P06858,GO:0006641
P06858,GO:0006644
P06858,GO:0008201
P06858,GO:0008970
P06858,GO:0009749
P06858,GO:0009986
P06858,GO:0010744
P06858,GO:0010884
P06858,GO:0010886
P06858,GO:0019433
P06858,GO:0031670
P06858,GO:0032722
P06858,GO:0032731
P06858,GO:0032755
P06858,GO:0032760
P06858,GO:0034185
P06858,GO:0034361
P06858,GO:0034371
P06858,GO:0034372
P06858,GO:0034375
P06858,GO:0034447
P06858,GO:0042627
P06858,GO:0042632
P06858,GO:0042803
P06858,GO:0043395
P06858,GO:0043495
P06858,GO:0045600
P06858,GO:0050729
P06858,GO:0055096
P06858,GO:0070328
P06858,GO:0071398
P06858,GO:0071813
P06858,GO:1904179
P06858,GO:2000343
P08235,GO:0000785
P08235,GO:0000981
P08235,GO:0003700
P08235,GO:0003707
P08235,GO:0004879
P08235,GO:0005496
P08235,GO:0005634
P08235,GO:0005654
P08235,GO:0005789
P08235,GO:0005829
P08235,GO:0006351
P08235,GO:0006357
P08235,GO:0007165
P08235,GO:0008270
P08235,GO:0017025
P08235,GO:0030518
P08235,GO:0034056
P08235,GO:0043235
P08235,GO:1901224
P08235,GO:1990837
P08473,GO:0001786
P08473,GO:0001822
P08473,GO:0001890
P08473,GO:0002003
P08473,GO:0004175
P08473,GO:0004181
P08473,GO:0004222
P08473,GO:0005737
P08473,GO:0005769
P08473,GO:0005802
P08473,GO:0005886
P08473,GO:0005903
P08473,GO:0005925
